ID,length,height,bodyAngle,wheelAngle,headAngle,time
605,2896,331,644,48,150,1
606,3242,427,501,140,41,2
607,2597,328,573,237,543,3
608,2896,334,644,45,150,2
610,2896,334,646,47,150,1
611,2896,330,644,46,151,2
613,2578,319,220,38,439,2
614,2578,319,220,38,439,2
615,2897,329,645,45,151,1
616,2943,330,173,275,467,2
617,3243,427,501,139,41,1
618,3504,448,397,188,179,1
620,2897,327,634,62,143,2
622,3044,331,166,385,549,1
623,3044,329,166,384,549,1
624,3044,332,166,385,549,2
625,3043,334,166,385,549,2
626,3044,333,176,375,537,1
627,3044,332,171,384,549,1
628,3044,332,176,373,536,2
629,2797,335,427,207,473,2
630,2797,334,428,207,472,3
631,2799,321,428,207,472,3
633,3044,328,176,373,536,2
637,2577,318,219,38,438,2
638,2577,318,219,38,438,2
640,3593,266,579,78,218,2
642,2673,336,577,452,582,1
643,2672,343,598,446,593,2
644,2673,341,574,455,582,1
649,2834,266,628,4,213,2
652,3755,258,99,828,752,2
653,2499,442,172,290,37,1
654,3085,265,531,222,274,2
656,3085,269,526,217,268,2
658,2966,330,537,207,80,2
659,2966,330,537,206,80,1
660,2966,335,537,207,78,2
661,2966,334,530,202,83,1
662,2796,339,649,131,207,1
663,2590,334,217,21,478,2
664,2590,334,217,21,478,2
669,2673,337,585,455,582,2
670,2673,334,598,445,593,1
671,2860,268,589,36,212,2
672,2674,332,562,445,593,1
674,2796,341,654,131,207,1
676,3757,256,97,827,751,2
680,3609,335,297,522,587,1
681,2771,322,353,590,849,2
683,3426,330,433,434,545,1
684,2741,268,215,437,562,5
687,3038,326,174,612,536,2
688,3199,329,329,41,133,1
689,2960,326,281,158,311,2
690,2387,452,245,4,121,1
692,2590,326,219,88,491,2
693,2590,326,219,88,491,2
694,2779,254,524,171,344,3
695,3746,459,653,86,326,1
696,2936,444,166,145,107,1
697,3746,458,654,88,332,1
700,4219,332,125,177,187,1
703,3529,460,583,45,295,1
704,3529,459,587,48,300,2
705,2802,333,640,43,219,1
706,3529,457,593,43,295,1
707,2819,320,806,112,190,3
713,3623,315,398,105,169,2
715,2722,254,692,16,113,2
719,2973,481,595,172,275,1
720,2790,238,611,142,24,1
722,2742,262,1398,437,561,4
727,2893,437,554,14,72,1
730,2776,329,363,474,837,2
734,3388,266,346,51,168,3
735,3387,267,346,51,166,2
737,2776,326,364,474,837,2
738,3438,266,334,601,502,2
739,3438,268,334,601,502,2
741,2601,326,167,306,449,2
745,2794,332,590,176,242,2
746,2794,332,514,184,250,1
747,2795,333,586,185,250,1
751,2127,445,478,355,393,1
754,3816,262,458,597,455,2
757,2668,331,742,118,114,1
758,2795,329,569,176,242,1
759,3817,260,458,597,455,2
760,2490,441,152,35,19,1
761,2491,440,153,35,19,1
9695,2249,246,381,14,324,1
7155,4096,248,137,469,522,1
16279,3800,255,161,271,433,1
772,2903,261,632,123,162,2
4622,3125,251,72,238,260,1
776,2909,444,544,100,45,1
777,2848,247,548,74,429,2
780,2584,333,215,16,455,1
781,2584,333,215,16,455,1
783,3114,266,177,419,499,3
784,2925,494,116,202,100,2
785,3670,493,686,38,287,1
786,3381,262,347,65,156,2
789,2848,259,575,59,208,3
1381,2602,317,156,97,415,1
7527,4118,251,137,317,518,1
8,3800,254,161,299,455,1
5036,3753,317,160,196,502,1
13250,4102,251,142,418,523,1
801,2709,334,477,444,605,2
803,3514,262,429,259,507,2
811,2875,438,548,93,69,1
812,2875,436,548,93,69,1
815,2558,445,48,115,183,2
816,2631,321,750,228,92,2
817,3101,455,318,203,181,1
3027,2780,271,120,462,549,1
820,3193,319,502,104,349,2
821,2936,331,167,388,468,1
823,2936,332,168,388,467,2
825,2936,330,168,388,467,1
826,3337,439,525,336,550,2
827,2755,302,580,62,84,1
828,3337,438,526,336,550,1
829,2936,329,168,388,467,1
830,2605,305,219,2,508,4
831,2605,305,219,2,508,4
833,2334,334,528,541,551,1
835,2295,318,370,649,816,2
840,4174,269,18,103,80,2
1991,2775,275,121,265,569,1
1902,2770,270,144,272,537,1
844,4174,266,18,103,80,2
845,2153,445,481,418,378,1
847,2249,446,187,253,88,2
854,3594,330,305,430,573,2
856,3736,456,661,101,291,1
859,3711,261,101,493,723,2
861,2774,330,433,130,464,1
862,2773,334,434,126,468,1
863,2773,336,433,129,468,1
866,2774,331,430,128,468,2
867,2774,331,433,129,464,1
873,2675,317,926,289,88,2
874,4146,259,138,226,517,2
880,3016,466,567,110,293,1
881,2975,262,391,103,17,2
883,3889,259,62,670,760,2
884,3735,260,104,457,727,2
885,3016,463,577,116,293,1
886,3666,268,300,283,541,2
887,2769,331,623,4,237,2
891,2646,334,123,480,509,1
893,2646,336,129,470,497,1
896,2898,272,627,20,218,2
901,3326,318,473,153,378,3
908,2309,331,647,585,546,1
909,3516,260,424,505,510,2
910,2825,272,600,133,208,2
911,2129,447,466,180,367,2
912,2770,313,625,30,189,2
913,2590,330,226,2,495,2
914,2590,330,226,2,495,2
919,3516,261,427,505,509,2
920,2826,268,597,133,208,2
921,2802,265,526,152,363,2
926,2827,330,647,64,207,1
927,2647,326,119,482,510,4
928,3779,262,104,480,738,3
933,3751,321,166,89,488,5
934,3751,321,166,89,488,5
935,3415,330,430,475,538,2
939,2801,268,1822,286,559,2
943,3374,263,349,51,163,2
945,3212,329,721,62,168,1
947,2580,330,343,155,736,1
953,2834,329,637,29,234,1
957,3133,267,185,262,504,2
960,2249,446,189,81,88,1
966,4082,326,541,416,635,2
967,3134,265,189,321,516,3
968,2995,255,385,20,32,3
969,4112,257,143,242,522,2
972,2579,339,333,147,731,1
974,2844,254,652,63,171,2
975,2579,337,333,147,725,1
976,2351,449,227,142,111,1
982,2774,319,633,57,246,2
983,3480,452,385,62,210,1
13420,3808,252,159,227,425,1
985,2928,323,266,208,416,2
3905,3822,252,164,277,455,1
989,2113,447,483,91,393,1
990,2676,258,578,207,525,2
991,2394,453,199,29,116,2
992,2251,441,184,77,86,2
993,2251,438,184,77,86,2
994,3393,323,697,511,628,2
995,3025,330,180,451,533,1
999,2863,262,642,26,166,2
20107,3804,323,79,603,824,1
1003,3127,497,325,30,203,1
1004,2843,493,539,238,55,1
1005,3127,494,315,40,197,1
1006,2843,491,540,238,55,1
1007,3127,492,315,40,193,1
1008,3702,264,298,368,539,2
6036,2610,323,84,298,745,1
1014,3025,327,171,462,543,2
1018,2626,321,219,2,488,2
1019,2626,321,219,2,488,2
1023,3194,468,117,35,387,1
1025,2824,255,631,139,201,2
1028,2965,322,364,293,455,2
1034,2831,203,539,97,67,2
1035,2650,323,763,152,77,3
1036,3635,465,334,33,224,1
1038,2689,338,1957,496,603,1
1039,2689,340,1934,503,592,1
1041,3038,327,172,227,551,3
1042,3038,327,170,227,551,2
1043,3038,326,170,227,551,10
1044,2689,340,566,500,603,2
1045,2605,450,47,28,173,1
1046,2987,468,54,57,310,1
1048,2689,339,15,496,603,1
1049,3148,330,778,83,142,1
1050,3148,330,778,83,142,1
1051,2304,326,373,673,820,2
1057,2939,267,420,392,477,2
1058,2938,269,627,137,145,2
1061,2690,337,449,503,593,1
1062,2797,314,620,54,197,2
1063,2261,329,418,212,660,1
20285,3741,263,99,488,729,1
1065,2812,337,653,59,200,2
1066,2811,337,648,62,199,1
1067,2811,340,648,64,195,1
1068,2812,337,653,60,200,1
1069,2812,336,646,64,195,1
1070,2802,337,640,39,235,1
1072,3586,260,575,41,213,2
1073,2934,333,362,350,424,1
1074,2812,330,652,60,200,1
1075,3658,251,388,90,137,2
1078,2963,321,388,13,255,2
1079,3602,329,304,388,571,2
1080,2928,330,635,224,180,1
1081,2585,449,58,111,195,1
1083,3603,329,304,388,571,1
4461,3642,247,381,57,92,1
1088,2930,255,281,252,374,2
1092,3064,315,631,107,199,2
599,2943,316,173,275,467,1
1095,2836,268,385,151,446,4
1096,2595,300,212,96,505,2
1097,2595,300,212,96,505,2
1100,3488,259,696,636,564,2
1101,3064,313,629,107,199,2
12248,2562,310,209,239,404,1
1103,2930,255,273,243,374,2
1108,3502,271,434,326,500,2
1112,2836,264,383,151,446,2
1113,2796,279,1098,314,558,2
1114,2796,279,2033,315,558,1
1116,2796,276,2039,314,558,2
1118,3584,328,304,509,574,2
1121,3438,455,427,190,457,3
1124,3135,473,302,66,207,1
1125,2851,462,547,248,84,2
1126,3438,454,427,190,457,3
1127,3584,329,303,512,572,1
1128,2843,330,639,118,226,1
1129,2843,333,640,118,226,2
1132,2419,437,204,30,105,1
1137,3008,259,393,56,29,2
1139,3198,474,527,254,105,1
1140,3198,470,523,250,110,2
1142,3000,462,559,28,301,1
1143,2928,261,275,226,376,2
1145,2790,319,626,127,184,2
1146,2928,263,284,235,380,2
1147,3151,263,178,496,513,2
1148,3001,462,566,28,301,2
1149,2548,329,668,123,236,1
1152,3008,256,392,56,29,3
1153,2796,275,1720,314,558,3
1162,2586,438,49,65,192,3
1163,2586,438,49,65,192,1
1170,2953,325,543,137,250,2
1171,2837,261,648,49,145,4
1175,3277,330,233,354,537,2
1176,2443,439,194,1,101,3
1178,2634,326,219,153,410,2
1179,2634,326,219,153,410,2
1180,3739,494,437,316,554,1
1182,3381,262,346,154,138,2
10375,3811,251,166,315,427,1
12249,2562,310,209,239,404,1
1185,2678,329,746,153,106,1
1186,2678,330,746,153,106,1
1187,3739,494,438,316,555,1
1192,2912,269,619,139,214,2
1195,3208,432,501,298,27,1
1200,3208,435,497,293,33,4
1203,3162,333,778,45,146,2
1204,2775,334,621,41,237,2
1205,2774,334,609,34,246,1
1206,3658,461,701,36,255,1
18198,3844,250,70,655,769,1
1208,3164,330,774,44,146,1
5025,2592,311,217,79,445,1
1210,3117,334,197,371,555,1
1211,2775,334,621,41,237,1
1212,2775,333,620,41,237,1
1214,3117,332,187,384,565,2
1215,2995,437,178,293,96,1
1216,3658,458,701,36,255,1
1217,3208,434,497,292,33,1
1218,2996,436,162,283,105,1
1219,3250,329,227,478,525,1
1220,3658,456,694,26,245,1
1221,3111,463,319,300,517,2
1223,3767,259,109,792,737,2
1226,3208,436,497,293,33,2
1227,2768,328,436,212,480,2
1228,2785,327,485,4,148,2
1232,3767,256,108,792,737,2
1234,2625,325,219,95,484,2
1235,2625,325,219,95,484,2
1242,3808,263,170,348,442,2
1245,3808,270,170,349,442,3
1246,3808,273,170,349,442,6
1247,3807,276,170,349,442,2
1248,3807,277,166,351,445,1
1249,3808,272,170,349,442,2
1257,3736,329,462,450,522,1
1259,3638,329,299,359,581,3
1260,3638,331,299,359,581,4
1261,3638,332,298,361,579,2
1262,3638,335,299,359,581,3
1263,3787,323,62,519,798,2
1265,3638,334,299,359,580,2
1271,2777,328,613,10,235,2
1272,2789,335,392,252,468,1
1273,3261,329,227,250,531,1
1274,3261,330,227,250,531,1
1275,3261,331,227,250,531,2
1276,3260,333,227,250,531,1
1277,3260,332,227,250,531,3
1280,3261,319,227,250,531,2
1284,3480,271,434,222,501,3
1285,3480,271,433,223,499,2
1286,2875,280,638,66,186,3
1287,2875,285,638,66,186,1
1289,3047,324,178,395,536,2
1292,3047,329,173,396,536,1
1294,2497,440,192,68,102,1
1295,2497,438,192,68,102,1
1297,2600,337,218,31,442,2
1298,2600,337,218,31,442,2
1299,2607,330,722,285,156,1
1300,2607,332,714,287,156,1
1301,2577,442,48,8,179,1
1302,2577,440,48,8,179,1
1303,2577,438,55,17,171,1
1304,2962,463,65,130,336,1
1309,2928,330,260,188,385,1
1310,2928,331,260,189,385,1
1311,2868,251,795,18,155,2
1313,2928,332,260,189,385,1
1315,2733,332,434,240,488,2
1316,2732,333,434,240,488,1
1318,2602,309,213,133,434,2
1319,2602,309,213,133,434,2
1328,3819,255,167,240,427,2
1329,3819,255,167,240,427,2
1334,3279,259,709,19,131,2
1335,3487,259,431,399,476,3
1338,3344,267,361,72,138,2
1339,2227,444,181,219,72,3
1340,2734,330,438,243,484,1
1351,3507,464,597,20,309,1
1352,2851,264,588,49,223,2
1355,3507,461,594,20,309,1
1356,2799,330,570,84,303,1
